RNAseqname                                   	numofnts  	Time(s)   	MFEILP    	MFEARCHIVE	MFERNAstr 	MFERNAFold	MFEUNAfold	F1ILP     	F1RNAstr  	F1RNAFold 	F1UNAFold 	FbILP     	FbRNAstr  	FbRNAFold 	FbUNAFold 	INFILP    	INFRNAstr 	INFRNAFold	INFUNAFold
tRNA_tdbR00000006-Mycoplasma_mycoides-2102-Ala-UGC	76        	5401.33   	-33.53    	-26.90    	-33.70    	-34.90    	-29.30    	0.68      	0.73      	0.29      	0.68      	0.70      	0.75      	0.32      	0.70      	0.68      	0.73      	0.29      	0.68      
tRNA_tdbR00000007-Bacillus_subtilis-1423-Ala-5GC	76        	5401.11   	-33.19    	-29.90    	-32.30    	-32.80    	-27.90    	0.76      	0.98      	0.52      	0.57      	0.79      	0.96      	0.55      	0.57      	0.76      	0.98      	0.52      	0.57      
tRNA_tdbR00000008-Escherichia_coli-562-Ala-GGC	76        	5400.35   	-30.55    	-24.30    	-29.00    	-29.00    	-25.70    	0.72      	0.93      	0.50      	0.95      	0.77      	0.94      	0.54      	0.98      	0.73      	0.93      	0.50      	0.96      
tRNA_tdbR00000009-Escherichia_coli-562-Ala-VGC	76        	5400.50   	-31.40    	-28.90    	-30.90    	-30.90    	-28.70    	0.26      	1.00      	0.70      	0.00      	0.28      	1.00      	0.73      	0.00      	0.26      	1.00      	0.70      	0.00      
tRNA_tdbR00000010-Escherichia_coli-562-Ala-VGC	76        	5406.21   	-32.65    	-26.80    	-29.90    	-31.80    	-25.70    	0.29      	0.98      	0.51      	0.29      	0.31      	0.96      	0.55      	0.32      	0.29      	0.98      	0.51      	0.29      
tRNA_tdbR00000011-Neurospora_crassa-5141-Ala-UGC	75        	5400.63   	-18.85    	-15.00    	-16.80    	-17.40    	-14.80    	0.51      	1.00      	0.55      	0.55      	0.53      	1.00      	0.55      	0.55      	0.51      	1.00      	0.55      	0.55      
tRNA_tdbR00000012-Saccharomyces_cerevisiae-4932-Ala-IGC	76        	5400.72   	-29.73    	-25.80    	-27.60    	-29.40    	-25.00    	0.43      	0.95      	0.24      	0.24      	0.44      	0.95      	0.25      	0.25      	0.43      	0.95      	0.24      	0.24      
tRNA_tdbR00000013-Pichia_jadinii-4903-Ala-IGC	76        	5400.58   	-25.33    	-23.30    	-25.10    	-25.20    	-20.90    	0.70      	0.95      	0.95      	0.00      	0.70      	0.95      	0.95      	0.00      	0.70      	0.95      	0.95      	0.00      
tRNA_tdbR00000014-Bombyx_mori-7091-Ala-IGC   	76        	5402.48   	-32.38    	-31.80    	-33.60    	-33.80    	-31.10    	1.00      	1.00      	0.53      	0.42      	1.00      	1.00      	0.56      	0.42      	1.00      	1.00      	0.53      	0.42      
tRNA_tdbR00000015-Bombyx_mori-7091-Ala-IGC   	76        	5400.90   	-34.24    	-33.70    	-35.50    	-34.60    	-29.50    	1.00      	1.00      	1.00      	0.73      	1.00      	1.00      	1.00      	0.75      	1.00      	1.00      	1.00      	0.73      
tRNA_tdbR00000016-Homo_sapiens-9606-Ala-IGC  	76        	5400.99   	-32.27    	-29.90    	-32.20    	-32.00    	-27.10    	1.00      	0.98      	1.00      	0.98      	1.00      	0.96      	1.00      	0.96      	1.00      	0.98      	1.00      	0.98      
