RNAseqname                                   	numofnts  	Time(s)   	MFEILP    	MFEARCHIVE	MFERNAstr 	MFERNAFold	MFEUNAfold	F1ILP     	F1RNAstr  	F1RNAFold 	F1UNAFold 	FbILP     	FbRNAstr  	FbRNAFold 	FbUNAFold 	INFILP    	INFRNAstr 	INFRNAFold	INFUNAFold
srp_Stre.suis._CP000407                      	78        	1647.10   	-30.94    	-14.10    	-28.40    	-28.50    	-28.20    	0.70      	0.82      	0.68      	0.82      	0.71      	0.84      	0.70      	0.84      	0.70      	0.82      	0.68      	0.82      
srp_Stre.suis._CP000408                      	78        	1637.28   	-30.94    	-14.10    	-28.40    	-28.50    	-28.20    	0.70      	0.82      	0.68      	0.82      	0.71      	0.84      	0.70      	0.84      	0.70      	0.82      	0.68      	0.82      
srp_Stre.ther._CP000024                      	77        	1737.26   	-31.40    	-19.90    	-28.30    	-28.30    	-28.10    	0.76      	0.87      	0.87      	0.87      	0.75      	0.87      	0.87      	0.87      	0.76      	0.87      	0.87      	0.87      
tRNA_tdbR00000001-Halobacterium_salinarum-2242-Ala-CGC	75        	867.75    	-31.26    	-25.70    	-29.60    	-29.10    	-26.30    	0.64      	0.95      	0.71      	0.67      	0.65      	0.98      	0.74      	0.69      	0.64      	0.96      	0.71      	0.67      
tRNA_tdbR00000002-Haloferax_volcanii-2246-Ala-CGC	75        	677.88    	-32.89    	-27.20    	-31.10    	-30.70    	-27.60    	0.74      	0.95      	0.67      	0.67      	0.75      	0.98      	0.69      	0.69      	0.74      	0.96      	0.67      	0.67      
tRNA_tdbR00000003-Haloferax_volcanii-2246-Ala-GGC	75        	880.29    	-35.96    	-30.80    	-32.60    	-32.50    	-26.70    	0.71      	1.00      	0.71      	0.56      	0.71      	1.00      	0.71      	0.57      	0.71      	1.00      	0.71      	0.56      
tRNA_tdbR00000004-Haloferax_volcanii-2246-Ala-UGC	75        	1343.88   	-35.14    	-28.70    	-32.80    	-31.50    	-28.70    	0.91      	0.93      	0.95      	0.71      	0.96      	0.94      	0.98      	0.74      	0.92      	0.93      	0.96      	0.71      
tRNA_tdbR00000005-Mycoplasma_capricolum-2095-Ala-UGC	76        	1353.22   	-35.77    	-26.90    	-33.70    	-34.90    	-29.30    	0.65      	0.73      	0.29      	0.68      	0.69      	0.75      	0.32      	0.70      	0.65      	0.73      	0.29      	0.68      
tRNA_tdbR00000006-Mycoplasma_mycoides-2102-Ala-UGC	76        	1363.53   	-35.77    	-26.90    	-33.70    	-34.90    	-29.30    	0.65      	0.73      	0.29      	0.68      	0.69      	0.75      	0.32      	0.70      	0.65      	0.73      	0.29      	0.68      
tRNA_tdbR00000007-Bacillus_subtilis-1423-Ala-5GC	76        	1369.61   	-35.56    	-29.90    	-32.30    	-32.80    	-27.90    	0.77      	0.98      	0.52      	0.57      	0.79      	0.96      	0.55      	0.57      	0.77      	0.98      	0.52      	0.57      
tRNA_tdbR00000008-Escherichia_coli-562-Ala-GGC	76        	1221.39   	-32.92    	-24.30    	-29.00    	-29.00    	-25.70    	0.74      	0.93      	0.50      	0.95      	0.78      	0.94      	0.54      	0.98      	0.74      	0.93      	0.50      	0.96      
tRNA_tdbR00000009-Escherichia_coli-562-Ala-VGC	76        	7200.68   	-33.31    	-28.90    	-30.90    	-30.90    	-28.70    	0.27      	1.00      	0.70      	0.00      	0.29      	1.00      	0.73      	0.00      	0.27      	1.00      	0.70      	0.00      
tRNA_tdbR00000010-Escherichia_coli-562-Ala-VGC	76        	1529.15   	-34.56    	-26.80    	-29.90    	-31.80    	-25.70    	0.29      	0.98      	0.51      	0.29      	0.32      	0.96      	0.55      	0.32      	0.29      	0.98      	0.51      	0.29      
tRNA_tdbR00000011-Neurospora_crassa-5141-Ala-UGC	75        	7200.36   	-22.50    	-15.00    	-16.80    	-17.40    	-14.80    	0.52      	1.00      	0.55      	0.55      	0.54      	1.00      	0.55      	0.55      	0.52      	1.00      	0.55      	0.55      
tRNA_tdbR00000012-Saccharomyces_cerevisiae-4932-Ala-IGC	76        	3405.33   	-31.06    	-25.80    	-27.60    	-29.40    	-25.00    	0.24      	0.95      	0.24      	0.24      	0.25      	0.95      	0.25      	0.25      	0.24      	0.95      	0.24      	0.24      
tRNA_tdbR00000013-Pichia_jadinii-4903-Ala-IGC	76        	7200.66   	-28.00    	-23.30    	-25.10    	-25.20    	-20.90    	0.76      	0.95      	0.95      	0.00      	0.78      	0.95      	0.95      	0.00      	0.76      	0.95      	0.95      	0.00      
tRNA_tdbR00000014-Bombyx_mori-7091-Ala-IGC   	76        	908.14    	-34.91    	-31.80    	-33.60    	-33.80    	-31.10    	0.53      	1.00      	0.53      	0.42      	0.56      	1.00      	0.56      	0.42      	0.53      	1.00      	0.53      	0.42      
tRNA_tdbR00000015-Bombyx_mori-7091-Ala-IGC   	76        	1134.90   	-35.57    	-33.70    	-35.50    	-34.60    	-29.50    	0.95      	1.00      	1.00      	0.73      	0.98      	1.00      	1.00      	0.75      	0.96      	1.00      	1.00      	0.73      
tRNA_tdbR00000016-Homo_sapiens-9606-Ala-IGC  	76        	1152.54   	-33.60    	-29.90    	-32.20    	-32.00    	-27.10    	0.95      	0.98      	1.00      	0.98      	0.98      	0.96      	1.00      	0.96      	0.96      	0.98      	1.00      	0.98      
tRNA_tdbR00000017-Homo_sapiens-9606-Ala-IGC  	76        	1092.28   	-31.27    	-27.50    	-29.80    	-29.60    	-25.10    	0.95      	0.98      	1.00      	0.98      	0.98      	0.96      	1.00      	0.96      	0.96      	0.98      	1.00      	0.98      
tRNA_tdbR00000019-Mycoplasma_capricolum-2095-Cys-GCA	75        	936.01    	-28.84    	-18.60    	-23.00    	-25.70    	-23.20    	0.73      	0.73      	0.73      	0.73      	0.79      	0.77      	0.79      	0.77      	0.73      	0.73      	0.73      	0.73      
tRNA_tdbR00000020-Escherichia_coli-562-Cys-GCA	74        	926.31    	-33.45    	-21.60    	-27.70    	-28.30    	-26.90    	0.77      	0.78      	0.71      	0.71      	0.82      	0.79      	0.76      	0.76      	0.78      	0.78      	0.72      	0.72      
tRNA_tdbR00000021-Saccharomyces_cerevisiae-4932-Cys-GCA	75        	7200.57   	-27.31    	-19.60    	-24.40    	-24.60    	-22.80    	0.83      	0.91      	0.74      	0.71      	0.88      	0.91      	0.76      	0.72      	0.84      	0.91      	0.74      	0.71      
tRNA_tdbR00000022-Enterobacteria_phage_T5-10726-Asp-GUC	77        	7200.69   	-31.20    	-23.70    	-27.60    	-27.70    	-26.60    	0.74      	0.30      	0.29      	0.30      	0.75      	0.32      	0.29      	0.32      	0.74      	0.31      	0.29      	0.31      
tRNA_tdbR00000023-Haloferax_volcanii-2246-Asp-GUC	76        	1682.42   	-36.62    	-26.50    	-32.40    	-36.80    	-31.50    	0.21      	0.52      	0.49      	0.48      	0.23      	0.52      	0.51      	0.50      	0.21      	0.52      	0.49      	0.48      
tRNA_tdbR00000024-Mycoplasma_capricolum-2095-Asp-GUC	77        	2249.21   	-32.03    	-27.60    	-30.90    	-30.20    	-26.20    	0.95      	0.98      	1.00      	1.00      	0.98      	0.96      	1.00      	1.00      	0.96      	0.98      	1.00      	1.00      
